position,sess,burst_type,ids,amp,freq,duration
1,230610,co,112,0.3545991753,16.8886911827,0.1766965429
-3,230610,co,114,0.7530070023000001,17.3319232804,0.1165172855
-3,230610,cc,114,0.5439951662,17.8653148555,0.1241997439
-3,230610,cc,114,0.32807214900000004,26.5457217652,0.2317541613
2,230610,cc,117,0.35542731400000005,19.9459051382,0.1510883483
2,230610,cc,117,0.3560301679,16.5237078085,0.23943661970000002
2,230610,cc,117,0.3762802704,19.9571849846,0.09475032010000001
2,230610,cc,117,0.4496862099,16.1424443879,0.1792573624
0,230610,cc,118,0.6949084808,22.4324487278,0.17797695260000002
-1,230610,cc,121,0.6417142126000001,21.1439263517,0.3367477593
-1,230610,cc,121,0.4903835637,24.7229492201,0.0806658131
-1,230610,cc,123,0.4041367936,21.4543545462,0.1408450704
-1,230610,cc,123,0.5396204294,17.5942987583,0.1728553137
-1,230610,cc,124,0.6076709348,21.9854959943,0.0909090909
1,230610,cc,125,0.6268842352,16.4116089879,0.12291933420000001
1,230610,cc,125,0.5013814522,17.747186091,0.1728553137
-3,230610,co,126,0.5933522087,20.0403981196,0.3482714469
-3,230610,cc,126,0.4513805956,17.3644925494,0.1792573624
1,230610,cc,127,0.6047905549,24.3483831029,0.1165172855
-2,230610,cc,128,0.6226641414,18.6616499044,0.11011523690000001
-2,230610,cc,128,0.4018237329,19.1164177069,0.2599231754
-2,230610,cc,128,0.5003406838,17.5794093959,0.11139564660000001
0,230610,cc,129,0.9591677598,20.2348762211,0.1037131882
0,230610,cc,129,0.5873688614,20.4218552213,0.2996158771
-2,230610,cc,130,0.6957185731000001,22.1250012294,0.0870678617
3,230610,cc,131,0.3635853492,18.0033856115,0.11139564660000001
3,230610,cc,131,0.3163338696,17.7651363294,0.1702944942
3,230610,cc,131,0.5468278897000001,19.453698879,0.14980793850000002
0,230610,cc,132,0.5590876706,18.5540434939,0.15877080670000002
0,230610,cc,132,0.5510996495,21.849985119,0.0883482714
-1,230610,cc,133,0.5097898979000001,15.2639046276,0.2599231754
-1,230610,cc,133,0.3862458621,23.2493780493,0.4314980794
-2,230610,cc,135,0.43473103080000003,18.3126714377,0.2727272727
-2,230610,cc,135,0.4660408804,21.5818730185,0.1728553137
2,230610,cc,136,0.3230665428,28.9931630168,0.0640204866
0,230610,cc,137,0.6634038361,17.6201313755,0.11139564660000001
0,230610,cc,138,0.4504294997,19.9605254631,0.1984635083
-1,230610,co,139,0.686360808,17.1436857651,0.12291933420000001
2,230610,cc,140,0.5601822291,16.8557524862,0.29449423820000004
0,230610,cc,141,0.6197732961,21.8379645822,0.5044814341
0,230610,cc,141,0.44131346320000003,24.0035103669,0.1254801536
2,230610,cc,142,0.44805299800000004,21.5992603051,0.1408450704
2,230610,cc,143,0.5833693910000001,19.8458489274,0.14724711910000002
-3,230610,cc,144,0.6731736849000001,20.8462172828,0.09987195900000001
-3,230610,cc,144,0.5277405087,23.0941688351,0.3457106274
-2,230610,cc,146,0.44685901100000003,20.7173548229,0.1971830986
-1,230610,cc,148,0.7112348706,19.7597286361,0.204865557
-1,230610,cc,148,0.7543124462,19.2472968986,0.3162612036
0,230610,cc,151,0.4912174066,19.2722277793,0.7784891165000001
1,230610,cc,152,0.48229392860000003,20.5359998888,0.3892445583
-3,230610,cc,154,0.2553416591,17.5942333317,0.1024327785
-1,230610,co,155,0.7133626845000001,16.8601862762,0.2996158771
-1,230610,cc,155,0.31851549770000004,19.7324080012,0.1510883483
-1,230610,cc,156,0.3333896476,26.3400950444,0.1139564661
-3,230610,cc,158,0.43578675720000004,20.1085340952,0.7861715749
-3,230610,cc,158,0.278356741,21.5287670687,0.2330345711
2,230610,cc,159,0.4766904048,22.4890456523,0.1741357234
2,230610,cc,159,0.42371238250000004,19.1280542478,0.3636363636
-1,230610,cc,160,0.3506727189,19.6224998242,0.3021766965
-1,230610,cc,160,0.6073415341,20.4818281851,0.1434058899
0,230610,cc,162,0.6530030652000001,20.4422732313,0.1869398207
2,230610,cc,163,0.2798284815,20.6543175228,0.1037131882
2,230610,cc,163,0.1247417745,30.0760698638,0.058898847600000005
2,230610,co,163,0.5318184446,23.4799746361,0.12291933420000001
-2,230610,cc,164,0.7217568167,19.7626817671,0.1536491677
-2,230610,cc,164,0.362280488,22.7726449411,0.14212548020000002
-2,230610,cc,164,0.5089212463,23.2709596105,0.1766965429
1,230610,cc,170,0.7603496554,19.1793890839,0.1510883483
1,230610,cc,170,0.3446398299,23.9487162305,0.08194622280000001
-1,230610,cc,171,0.2502288994,17.9889771977,0.11139564660000001
-1,230610,cc,171,0.5388347572000001,19.2222937496,0.1574903969
1,230610,cc,172,0.49314279240000003,17.2252901354,0.23943661970000002
-1,230610,cc,173,0.5233070813,22.2229726634,0.17797695260000002
-1,230610,cc,173,0.4757678541,21.4116604853,0.2432778489
-2,230610,cc,174,0.5453849634,19.7045041238,0.7195902689
-2,230610,co,174,0.4462528945,15.5056320437,0.1254801536
-2,230610,cc,174,0.7820922191,20.0872427144,0.0973111396
-2,230610,cc,175,0.361517264,21.1805904018,0.1395646607
0,230610,cc,176,0.5565841313000001,17.2696901102,0.46350832270000003
0,230610,cc,176,0.34877585910000003,18.4672998052,0.1562099872
-3,230610,cc,177,0.45527275310000004,19.1607734739,0.4660691421
1,230610,cc,179,0.39500266910000004,19.6495409528,0.1510883483
-1,230610,cc,180,0.3637120814,23.0810619858,0.2676056338
-1,230610,cc,181,0.5945590197,20.3749829849,0.15236875800000002
-1,230610,cc,181,0.6114136017,17.5320226513,0.12163892450000001
0,230610,cc,182,0.4596927724,26.3341898765,0.0806658131
0,230610,co,182,0.623482017,24.9691211408,0.1600512164
0,230610,cc,182,0.5079084658,17.1670050157,0.1728553137
2,230610,cc,183,0.4732173006,20.3474042647,0.1984635083
-2,230610,cc,184,0.6077102162,22.315108814,0.1818181818
-2,230610,cc,184,0.4812331965,16.7687053963,0.1241997439
1,230610,cc,185,0.6850625942,22.0295805614,0.1293213828
1,230610,cc,185,0.43225259200000005,26.1767632258,0.1241997439
1,230610,cc,185,0.555581805,22.641164832,0.1318822023
2,230610,cc,186,0.6612714327,21.1256445388,0.18565941100000002
2,230610,co,186,0.7466504339000001,21.9101259964,0.1357234315
2,230610,cc,186,0.4171297123,20.279419626,0.09987195900000001
-1,230610,cc,187,0.4917514247,19.2933973899,0.1024327785
-1,230610,cc,187,0.6229301042000001,16.9703389234,0.1088348271
-1,230610,cc,189,0.6687627099,22.9632323084,0.0793854033
-1,230610,cc,189,0.7534919844,18.447996871,0.1075544174
-1,230610,cc,189,0.7817868471,20.6133243933,0.1446862996
1,230610,cc,190,0.2307556591,23.0967744528,0.0793854033
1,230610,co,190,0.5354293451000001,19.722274342,0.6081946223
1,230610,cc,190,0.5992183817,20.0400926732,0.1024327785
1,230610,cc,190,0.5914228509,20.4827221766,0.1037131882
3,230610,cc,191,0.4301416934,20.7411062226,0.2483994878
-2,230610,cc,192,0.4784759334,18.8158938718,0.16645326500000002
-2,230610,cc,192,0.5829501319,18.1887223995,0.1818181818
-2,230610,cc,192,0.5563663458,20.441660296,0.09475032010000001
