position,loc,chan,burst_type,ids,amp,freq,duration,monkey
2,POP3_24650,0,co,222,0.7721781793,14.3530341234,0.204865557,P
-3,POP3_24650,0,cc,224,0.2428011982,14.9108648767,0.1280409731,P
-3,POP3_24650,0,co,224,0.43467590970000003,19.994989476,0.2419974392,P
-1,POP3_24650,0,cc,226,0.5249364003,21.5412879162,0.138284251,P
3,POP3_24650,0,cc,230,0.45392047700000004,23.6545003325,0.1152368758,P
3,POP3_24650,0,cc,230,0.510997783,19.0074624357,0.09475032010000001,P
-2,POP3_24650,0,cc,231,0.4766946691,19.0874172204,0.1254801536,P
-2,POP3_24650,0,co,231,0.6906797433,21.9421795905,0.1562099872,P
-1,POP3_24650,0,cc,232,0.5767531823000001,16.9201596632,0.2407170294,P
-1,POP3_24650,0,cc,232,0.6328797341,19.6688380497,0.1818181818,P
1,POP3_24650,0,co,234,0.6543516868,16.8866593064,0.2701664533,P
2,POP3_24650,0,cc,235,0.480481462,19.919336339,0.39564660690000003,P
-3,POP3_24650,0,cc,236,0.4897737809,21.8533472099,0.12291933420000001,P
-3,POP3_24650,0,cc,236,0.47767934380000004,17.660308597,0.1088348271,P
-2,POP3_24650,0,cc,237,0.26149349990000004,22.0182512273,0.0973111396,P
-1,POP3_24650,0,cc,238,0.299212118,15.7084868506,0.1805377721,P
0,POP3_24650,0,co,239,0.6054737678000001,14.4542750909,0.1344430218,P
1,POP3_24650,0,cc,240,0.3457877804,17.1963137496,0.0691421255,P
2,POP3_24650,0,cc,241,0.41540515310000004,16.446583873,0.1574903969,P
3,POP3_24650,0,cc,242,0.5586733624,19.293135458,0.1690140845,P
-3,POP3_24650,0,cc,247,0.512920618,19.0866615347,0.11139564660000001,P
-2,POP3_24650,0,cc,248,0.649086432,17.0901061832,0.2215108835,P
-1,POP3_24650,0,cc,249,0.2261248887,15.7336124753,0.1792573624,P
1,POP3_24650,0,co,258,0.5983605149,21.2375801831,0.11267605630000001,P
-1,POP3_24650,0,cc,260,0.4138201554,25.3057173891,0.1062740077,P
-1,POP3_24650,0,cc,260,0.46672763710000004,15.6368252143,0.16133162610000001,P
-1,POP3_24650,0,cc,260,0.4047869631,20.4241193515,0.10499359800000001,P
0,POP3_24650,0,co,261,0.6868790259,17.8293919411,0.2023047375,P
0,POP3_24650,0,cc,261,0.3719510016,18.7478001138,0.1318822023,P
1,POP3_24650,0,cc,262,0.4006660475,21.6895343538,0.15236875800000002,P
2,POP3_24650,0,cc,263,0.6592509098,20.6832657989,0.1843790013,P
-1,POP3_24650,0,co,265,0.6410505109,17.6554201343,0.0678617157,P
-1,POP3_24650,0,cc,265,0.6280694115000001,19.4569167487,0.1318822023,P
-1,POP3_24650,0,cc,265,0.4575955915,19.9575159475,0.1907810499,P
0,POP3_24650,0,cc,266,0.6308018939000001,16.8732206478,0.1177976953,P
1,POP3_24650,0,cc,267,0.5259367921,18.0283074407,0.2291933419,P
1,POP3_24650,0,co,267,0.48944969320000004,16.1153381776,0.2010243278,P
1,POP3_24650,0,cc,267,0.49284396880000003,19.0773709751,0.1408450704,P
2,POP3_24650,0,cc,268,0.43247244430000004,20.2551453238,0.15236875800000002,P
-1,POP3_24650,0,cc,269,0.3679850053,16.6195983436,0.1152368758,P
-1,POP3_24650,0,co,269,0.8580213014,20.1750677848,0.1254801536,P
0,POP3_24650,0,cc,270,0.5341369661,17.0926635826,0.2317541613,P
0,POP3_24650,0,cc,270,0.3588725963,20.3777912492,0.1536491677,P
1,POP3_24650,0,cc,271,0.3148650328,23.1715839644,0.1766965429,P
1,POP3_24650,0,cc,271,0.4495343806,20.9214988767,0.2676056338,P
1,POP3_24650,0,cc,271,0.4888087445,22.1728944315,0.12163892450000001,P
3,POP3_24650,0,cc,273,0.5715429031,16.4192391509,0.1485275288,P
